店舗名,住所,電話番号,HP,詳細URL
Tenerezza（テネレッツァ）,大阪府 大阪市福島区 鷺洲 2-9-15 エイトワンビル　1F,050-5589-8902,http://tenerezza-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27041535/
串やき 一富士 福島店,大阪府 大阪市福島区 福島 3-10-14,050-5869-2208,https://www.ichifuji-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27069578/
寿司バール Gyosai 福島店（漁祭）,大阪府 大阪市福島区 福島 7-14-19 福島駅前ビル 1F,050-5596-3456,https://www.safarigroup.info/,https://tabelog.com/osaka/A2701/A270108/27066388/
すし てんぷら 吾作亭 福島駅前店（ごさくてい）,大阪府 大阪市福島区 福島 5-8-14 福島吉紹ビル 1F,050-5890-9699,https://foodmonogatari.jp/,https://tabelog.com/osaka/A2701/A270108/27123115/
二階の洋品店,大阪府 大阪市福島区 福島 7-1-6 2F,06-4256-5704,https://lit.link/10chu89,https://tabelog.com/osaka/A2701/A270108/27128655/
ミネット（minette）,大阪府 大阪市福島区 福島 5-16-15 福島宮脇ビル１－B,050-5596-5678,http://d-minette.com/,https://tabelog.com/osaka/A2701/A270108/27006664/
Dukes（デュークス）,大阪府 大阪市福島区 福島 8-1-3,050-5457-7347,,https://tabelog.com/osaka/A2701/A270108/27076235/
フランス料理Y's（ワイズ）,大阪府 大阪市福島区 鷺洲 2-7-14,06-6453-1177,,https://tabelog.com/osaka/A2701/A270108/27013494/
ミート デリ ニクラウス（Meat Deli Nicklaus' /肉屋のビストロ にくらうす）,大阪府 大阪市福島区 福島 8-1-15,050-5590-3918,https://nicklaus.jp/,https://tabelog.com/osaka/A2701/A270108/27113396/
すしバル藤家セカンズ（フジヤセカンズ）,大阪府 大阪市福島区 福島 5-12-14 コーポ福島 1F,050-5589-6223,,https://tabelog.com/osaka/A2701/A270108/27079244/
カフェと屋上BBQ Pier's CAFE&ROOFTOP（ピアーズ カフェ&ルーフトップ）,大阪府 大阪市福島区 福島 7-5-2 ダイシン福島ビル 3F・屋上,050-5600-4718,https://piers-cafe-rooftop.com/,https://tabelog.com/osaka/A2701/A270108/27135349/
焼肉 肉どうし 福島店,大阪府 大阪市福島区 福島 5-14-6 福島阪神クレセントビル 102,050-5589-5461,https://www.oz-company.jp/brands/nikudoushi/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27122577/
やきとりや こころ（【旧店名】ワインと日本酒 こころ 新福島店）,大阪府 大阪市福島区 福島 2-8-10 2F,050-5570-3907,,https://tabelog.com/osaka/A2701/A270108/27080061/
和Bistro くり木,大阪府 大阪市福島区 福島 1-2-25,050-5596-8083,,https://tabelog.com/osaka/A2701/A270108/27151100/
和魂,大阪府 大阪市福島区 福島 7-2-2,06-4797-2575,http://fukushimawakon.com,https://tabelog.com/osaka/A2701/A270108/27052155/
海鮮居酒屋 天ぷら番長 福島店,大阪府 大阪市福島区 福島 2-8-12,050-5597-0737,,https://tabelog.com/osaka/A2701/A270108/27109843/
トリコ食堂,大阪府 大阪市福島区 鷺洲 1-2-11,050-5456-9122,,https://tabelog.com/osaka/A2701/A270108/27150894/
やきとり 正や 福島店,大阪府 大阪市福島区 福島 7-4-28 1F,050-5595-6978,http://mycredo.co.jp/shop/masayafukushima,https://tabelog.com/osaka/A2701/A270108/27123089/
灰色ロマン,大阪府 大阪市福島区 福島 3‐7‐24,050-5594-9661,,https://tabelog.com/osaka/A2701/A270108/27145304/
Korean Dining KOH,大阪府 大阪市福島区 鷺洲 2-9-16,050-5456-5094,,https://tabelog.com/osaka/A2701/A270108/27149725/
fiction 大阪福島店（フィクション）,大阪府 大阪市福島区 福島 2-7-24 NANEI福島ビル 2F,050-5590-9582,,https://tabelog.com/osaka/A2701/A270108/27139023/
多幸屋3組（タコヤサンクミ）,大阪府 大阪市福島区 福島 2-6-7,050-5571-3136,,https://tabelog.com/osaka/A2701/A270108/27104894/
NAGAYA no BAR 東屋,大阪府 大阪市福島区 福島 5-11-5,050-5456-8322,http://www.bar-azumaya.com,https://tabelog.com/osaka/A2701/A270108/27140666/
TOKIN（トキン）,大阪府 大阪市福島区 福島 7-11-51,050-5456-7684,,https://tabelog.com/osaka/A2701/A270108/27020317/
あやむ屋（あやむや）,大阪府 大阪市福島区 福島 5-17-39,050-5595-9664,https://ayamuya-osaka.com/,https://tabelog.com/osaka/A2701/A270108/27001234/
弘大Z（ひろしだいゼット）,大阪府 大阪市福島区 福島 5-13-3,050-5596-9667,https://hiroshidai-z.com/,https://tabelog.com/osaka/A2701/A270108/27098786/
鶏海山の幸おかだ,大阪府 大阪市福島区 福島 5-13-2,050-5869-1176,http://www.okada-izakaya.com/,https://tabelog.com/osaka/A2701/A270108/27010926/
日本料理 なかのしま (リーガロイヤルホテル大阪),大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション イーストウイング 30F,050-5869-2214,http://www.rihga.co.jp/osaka/restaurant/list/nakanoshima/index.html,https://tabelog.com/osaka/A2701/A270108/27071057/
大阪モノラル,大阪府 大阪市福島区 福島 3-6-15 1F・2F,06-6343-7447,http://osakamono.com,https://tabelog.com/osaka/A2701/A270108/27077394/
台湾・中華料理 故郷（クーシャン）（【旧店名】北京 ）,大阪府 大阪市福島区 吉野 1-21-2,050-5596-8035,,https://tabelog.com/osaka/A2701/A270108/27054144/
Osteria ~Trevi~,大阪府 大阪市福島区 大開 1-5-23 西村ハイツ 1F,050-5456-7972,,https://tabelog.com/osaka/A2701/A270108/27150203/
レストラン パティスリー ジェイエス（Restaurant et Patisserie js）,大阪府 大阪市福島区 福島 2-2-8,050-5456-7392,https://www.restaurantetpatisseriejs.com/js,https://tabelog.com/osaka/A2701/A270108/27100580/
鶏匠 膳（ZEN）,大阪府 大阪市福島区 福島 3-12-20 ツインコート福島 1F,050-5456-1446,https://torishozen-yakitori.com/,https://tabelog.com/osaka/A2701/A270108/27120782/
炭火焼鳥コクレ（Sumibiyakitori Coquelet）,大阪府 大阪市福島区 福島 3-11-13,050-5456-2625,,https://tabelog.com/osaka/A2701/A270108/27092024/
YAKINIKU はく（焼肉ハク）,大阪府 大阪市福島区 海老江 7-10-20,050-5456-8207,,https://tabelog.com/osaka/A2701/A270108/27148249/
焼肉 藤もと 大吉商店,大阪府 大阪市福島区 福島 7-12-14,050-5571-4364,https://vk-michi.com/,https://tabelog.com/osaka/A2701/A270108/27126489/
THE BANKS Restaurant＆Cafe,大阪府 大阪市北区 中之島 5-3-60 中之島バンクスCENTER 1F,050-5456-8907,https://bar-banks.com/thebanks/,https://tabelog.com/osaka/A2701/A270108/27150883/
中国料理 碗（ワン【旧店名】中菜バル 碗）,大阪府 大阪市福島区 福島 5-12-14 コーポ福島 104,050-5600-6714,,https://tabelog.com/osaka/A2701/A270108/27136663/
闘鶏 福島店（しゃも）,大阪府 大阪市福島区 福島 2-7-24 NAN EI ビル 1F,050-5596-8170,,https://tabelog.com/osaka/A2701/A270108/27002375/
ぽんしゅや 三徳六味 福島本店,大阪府 大阪市福島区 福島 1-6-11,050-5590-8771,,https://tabelog.com/osaka/A2701/A270108/27084630/
焼鳥こくれ（【旧店名】Cuchibashi）,大阪府 大阪市福島区 福島 1-5-3,050-5456-6297,,https://tabelog.com/osaka/A2701/A270108/27114944/
foujita（フジタ）,大阪府 大阪市福島区 福島 3-9-15,050-5456-2390,https://www.fuji-no.jp/foujita/,https://tabelog.com/osaka/A2701/A270108/27096170/
焼肉 ふじわら,大阪府 大阪市福島区 吉野 1-16-11 阪神ハイグレードマンション7番館 1F,050-5596-3658,,https://tabelog.com/osaka/A2701/A270108/27148119/
焼肉 笑門（emon）,大阪府 大阪市福島区 福島 3-13-13,050-5594-9478,,https://tabelog.com/osaka/A2701/A270108/27136506/
なるとや 福島店,大阪府 大阪市福島区 福島 7-6-9,050-5456-3702,,https://tabelog.com/osaka/A2701/A270108/27149892/
牛べえ,大阪府 大阪市福島区 福島 1-2-19,050-5595-7098,,https://tabelog.com/osaka/A2701/A270108/27146795/
ミックス テイスト（MICKS TASTE）,大阪府 大阪市福島区 福島 1-6-21 エノキビル 1F,050-5595-1699,,https://tabelog.com/osaka/A2701/A270108/27100804/
BAR&DINING HIMAWARI（バーアンドダイニング ヒマワリ）,大阪府 大阪市福島区 福島 5-12-9 サンフラット2北側 1F,050-5600-7414,https://himawari-store.com/,https://tabelog.com/osaka/A2701/A270108/27084813/
le'a craft ROOFTOP BAR & RESTAURANT（レアクラフト）,大阪府 大阪市福島区 福島 1-2-35 PINEBROOKLYN 3F,050-5600-2139,https://lea-craft.com/,https://tabelog.com/osaka/A2701/A270108/27134274/
炉端×寿司 裏福島 Hana/Robata×Sushi Hana Osaka,大阪府 大阪市福島区 福島 5-11-16,050-5456-3868,,https://tabelog.com/osaka/A2701/A270108/27149082/
日本酒酒場立呑み 仁（ジン）,大阪府 大阪市福島区 福島 8-17-1,050-5589-6236,,https://tabelog.com/osaka/A2701/A270108/27086267/
すみり,大阪府 大阪市福島区 福島 5-11-9,050-5596-3554,,https://tabelog.com/osaka/A2701/A270108/27145745/
キッチン　ルミエール,大阪府 大阪市北区 中之島 4-3-20 N4TOWER 1F,050-5596-1613,https://kitchen-lumiere.com/,https://tabelog.com/osaka/A2701/A270108/27077434/
藤乃,大阪府 大阪市福島区 福島 3-9-10,050-5456-5245,https://www.fuji-no.jp/,https://tabelog.com/osaka/A2701/A270108/27067224/
しゃぶしゃぶ藤もと,大阪府 大阪市北区 大淀南 2-1-1,050-5596-3626,,https://tabelog.com/osaka/A2701/A270108/27147890/
鮨 赤木,大阪府 大阪市福島区 福島 2-8-4 アサマビル 2F,050-5456-8208,,https://tabelog.com/osaka/A2701/A270108/27150506/
炭 戎,大阪府 大阪市福島区 福島 2-7-15 ヤマサビル 2F,050-5596-3602,,https://tabelog.com/osaka/A2701/A270108/27147793/
海鮮焼鳥 美食家きらり,大阪府 大阪市福島区 吉野 2-7-7,050-5456-7958,,https://tabelog.com/osaka/A2701/A270108/27105279/
炭火野菜巻と魚串 ときわ福島,大阪府 大阪市福島区 福島 7-7-22 古高ビル 1F,050-5456-9558,https://www.iyasakanetshop.com/,https://tabelog.com/osaka/A2701/A270108/27116124/
赤おに家 福島店（AKAONIYA）,大阪府 大阪市福島区 福島 1-2-9,050-5592-8591,,https://tabelog.com/osaka/A2701/A270108/27009832/
ラム・ストゥーリィは突然に,大阪府 大阪市福島区 福島 2-7-16,050-5589-4659,https://hitsuziya.com/lambtotsu/,https://tabelog.com/osaka/A2701/A270108/27119000/
福島 焼肉 萬心,大阪府 大阪市福島区 福島 3-8-10,050-5596-6674,,https://tabelog.com/osaka/A2701/A270108/27151216/
とりめがね,大阪府 大阪市福島区 野田 3-12-21,050-5456-7484,,https://tabelog.com/osaka/A2701/A270108/27064744/
天ぷら 大坂屋 草哲,大阪府 大阪市福島区 福島 6-8-2 サントビル 1F,050-5592-4151,,https://tabelog.com/osaka/A2701/A270108/27093282/
熟成ホルモン・山形牛 炭火焼肉 牛語（ウシガタリ）,大阪府 大阪市福島区 福島 1-6-18,050-5593-0506,http://www.ushigatari.com,https://tabelog.com/osaka/A2701/A270108/27094059/
あぶりや 野田阪神店,大阪府 大阪市福島区 海老江 1-1-17 野田アプラ 2F,050-5456-1472,,https://tabelog.com/osaka/A2701/A270108/27137664/
炭火焼川口,大阪府 大阪市福島区 福島 1-6-11,050-5456-5452,,https://tabelog.com/osaka/A2701/A270108/27149876/
ad hoc （アドック）,大阪府 大阪市福島区 福島 1-1-48,050-5596-6413,http://adhoc2014.jp/,https://tabelog.com/osaka/A2701/A270108/27080791/
晴屋 福島店（はれるや）,大阪府 大阪市福島区 福島 5-10-17,050-5571-2078,,https://tabelog.com/osaka/A2701/A270108/27006689/
鯛めしや はなび,大阪府 大阪市福島区 福島 5-10-6,050-5570-1067,,https://tabelog.com/osaka/A2701/A270108/27072945/
季楽酒場 おっきゃがり 福島（【旧店名】新町街屋）,大阪府 大阪市福島区 福島 7-2-5 ふくまる通り57,050-5872-8844,https://www.oz-company.jp/brands/okkyagari/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27041699/
紅梅本楼（【旧店名】Maison China Umemoto）,大阪府 大阪市福島区 福島 4-2-65,06-6131-9974,https://koubai-honrou.com/,https://tabelog.com/osaka/A2701/A270108/27098251/
鮨ふみ,大阪府 大阪市福島区 福島 7-7-24 スリーエスビル1F,050-5589-7623,http://www.fukushima-sushifumi.com,https://tabelog.com/osaka/A2701/A270108/27087595/
すきやきダイニング　Ｈｉｒｏ（ヒロ）,大阪府 大阪市福島区 福島 1-6-1 1F,050-5872-0918,,https://tabelog.com/osaka/A2701/A270108/27051574/
珉珉 福島店（みんみん）,大阪府 大阪市福島区 福島 7-21-15,050-5570-3831,,https://tabelog.com/osaka/A2701/A270108/27027346/
CAFE BEATO（カフェ ベアート）,大阪府 大阪市福島区 福島 8-1-3,050-5593-8854,http://cafebeato.jp,https://tabelog.com/osaka/A2701/A270108/27096592/
燻製イナダ商店,大阪府 大阪市福島区 福島 3-11-24,050-5593-5201,,https://tabelog.com/osaka/A2701/A270108/27096867/
味とく家（みとくや）,大阪府 大阪市福島区 福島 5-10-6,050-5868-2926,,https://tabelog.com/osaka/A2701/A270108/27010961/
いわ志 本店,大阪府 大阪市福島区 福島 7-22-17 BRAVI福島 4F,050-5571-1427,,https://tabelog.com/osaka/A2701/A270108/27072901/
肉 希々（キキ）,大阪府 大阪市福島区 福島 5-10-16,050-5600-2161,,https://tabelog.com/osaka/A2701/A270108/27134642/
新橋筋鉄板酒場 風流,大阪府 大阪市福島区 吉野 2-8-36,050-5596-8491,,https://tabelog.com/osaka/A2701/A270108/27150689/
おらが蕎麦 野田アプラ店,大阪府 大阪市福島区 海老江 1-1-17 野田アプラ 1F,06-6147-5930,https://www.gourmet-kineya.co.jp,https://tabelog.com/osaka/A2701/A270108/27136256/
Izakaya#(居酒屋 タグ) 福島店,大阪府 大阪市福島区 福島 7-11-51 1F・2F,050-5596-9967,,https://tabelog.com/osaka/A2701/A270108/27151859/
鮨 urag（スシ ウラグ）,大阪府 大阪市北区 大淀南 2-7-4,050-5589-4722,,https://tabelog.com/osaka/A2701/A270108/27130038/
上村家の食卓,大阪府 大阪市福島区 福島 2-2-17 1F,050-5456-8867,,https://tabelog.com/osaka/A2701/A270108/27141434/
中央市場 ゑんどう（ちゅうおういちば えんどう）,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場本場,050-5592-7600,http://www.endo-sushi.com/,https://tabelog.com/osaka/A2701/A270108/27002698/
新羅（シンラ）,大阪府 大阪市福島区 鷺洲 3-1-1,050-5890-2373,,https://tabelog.com/osaka/A2701/A270108/27017192/
a・la・dandy（ア・ラ・ダンディ）,大阪府 大阪市福島区 福島 2-3-15,050-5590-0317,https://m.facebook.com/Ala-dandy-425469290983660/      ,https://tabelog.com/osaka/A2701/A270108/27031636/
Mの焼肉  福島本店（【旧店名】ぶつぎり焼肉Ｍ）,大阪府 大阪市福島区 福島 6-3-7,06-6452-7070,https://matsusaka-projects.com/shop/fukushima/,https://tabelog.com/osaka/A2701/A270108/27003327/
パポッキオ 福島本店,大阪府 大阪市北区 大淀南 2-1-1,050-5890-3481,http://www.papocchio.jp/,https://tabelog.com/osaka/A2701/A270108/27001326/
せんべろ ゆうじ（【旧店名】炭と日本酒 仁）,大阪府 大阪市福島区 福島 6-3-8,050-5869-2169,,https://tabelog.com/osaka/A2701/A270108/27054826/
レストラン シャンボール(リーガロイヤルホテル大阪)（Restaurant Chambord）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション イーストウイング 29F,050-5868-5927,http://www.rihga.co.jp/osaka/restaurant/list/chambord/index.html,https://tabelog.com/osaka/A2701/A270108/27000803/
Siciliyano,大阪府 大阪市福島区 野田 3-12-17 丸三ビル 1F,050-5596-7850,https://siciliyano.com/,https://tabelog.com/osaka/A2701/A270108/27145780/
さくら肉と旬のよかもん KURAMA（くらま）,大阪府 大阪市福島区 福島 7-3-21,050-5456-6340,https://kurama.biz-option.com/index,https://tabelog.com/osaka/A2701/A270108/27115709/
チカサカバ,大阪府 大阪市福島区 福島 5-6-16 ラグザ大阪 B1F,050-5595-0387,,https://tabelog.com/osaka/A2701/A270108/27102789/
il Ktutti（イル カトゥッティ）,大阪府 大阪市北区 大淀南 2-8-11 エクセランス梅田西 1F,050-5593-7690,https://www.ilktutti.jp,https://tabelog.com/osaka/A2701/A270108/27097901/
鮨天知州,大阪府 大阪市福島区 福島 7-5-13,050-5890-8109,,https://tabelog.com/osaka/A2701/A270108/27123892/
しゃかりきばーる ほしぼし 野田店,大阪府 大阪市福島区 吉野 2-1-10,050-5596-8878,,https://tabelog.com/osaka/A2701/A270108/27096195/
餃子ブルース,大阪府 大阪市福島区 福島 5-10-14,050-5597-0801,https://www.r-su.co.jp/gyoza.php,https://tabelog.com/osaka/A2701/A270108/27128926/
煮穴子と白ぎも 大阪福島本店,大阪府 大阪市福島区 福島 3-9-10,050-5593-5362,,https://tabelog.com/osaka/A2701/A270108/27137674/
とりとんちゃん（【旧店名】天ぷら大将軍）,大阪府 大阪市福島区 吉野 3-7-7 デイライトビル　1Ｆ,050-5590-1475,,https://tabelog.com/osaka/A2701/A270108/27049650/
炭火焼鳥 まさや 福島店,大阪府 大阪市福島区 福島 5-13-14,050-5596-9078,http://yakitori-masaya.co.jp/,https://tabelog.com/osaka/A2701/A270108/27114927/
ほしつき,大阪府 大阪市福島区 福島 7-5-15 出水ビル 2F,050-5596-6408,http://www.hoshitsuki-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27072987/
地どり炭火焼 鳥まる 聖天通店,大阪府 大阪市福島区 福島 8-16-15,050-5590-5501,http://torimaru.org/,https://tabelog.com/osaka/A2701/A270108/27052386/
ハシゴバル ピンチョ 福島店（【旧店名】メルカ パセオ）,大阪府 大阪市福島区 福島 5-18-25 福島ふくまる通り57 1F,050-5869-2481,,https://tabelog.com/osaka/A2701/A270108/27111241/
和ふらんす 舘山,大阪府 大阪市福島区 福島 2-10-12 アウラロクス 1F,050-5456-5328,,https://tabelog.com/osaka/A2701/A270108/27148904/
